antibiotic_pastmonth-NO	num_adults_<=2	age_(2_5]	hiv_medicines-NO	tb_medicines-NO	birthplace-_11	cd4_class-MODERATE	child_sick-YES	num_children_house_<=2	father_hiv-YES	father_alive-NO	father_tb_death-YES	female	hinfluenzae-NO	hinfluenzae_type_b-NO	mother_alive-YES	movement_place_of_birth-NO	mrsa_bacteria-NO	nose_snot-YES	antibiotics_at_present-NO	runny_nose-YES	saureus_bacteria-NO	spneumo_bacteria-NO	sviridans_bacteria-NO	tb_child-NO	tb_exp-YES	septran_prophylaxis-YES	immunisation_completed-YES	waz_cat-_2	num_people_house_<=4	full_immunisation_completed-YES	antibiotic_pastmonth-YES	num_adults_3-5	cd4_class-NORMAL	num_children_house_(2_5]	father_alive-YES	male	antibiotics_at_present-YES	spneumo_bacteria-YES	tb_child-YES	immunisation_completed-NO	waz_cat-_1	num_people_house_(4_10]	num_adults_>5	birthplace-_13	child_sick-NO	movement_place_of_birth-YES	nose_snot-NO	runny_nose-NO	tb_exp-NO	age_>5	hiv_medicines-YES	cd4_class-SEVERE	saureus_bacteria-YES	sviridans_bacteria-YES	waz_cat-_3	full_immunisation_completed-NO	birthplace-_1	mother_alive-NO	birthplace-_8	movement_within_age2-YES	birthplace-_15	movement_within_age2-NO	age_(1-2]	tb_Medicines-YES	birthplace-_12	septran_prophylaxis-NO	birthplace-_7	birthplace-_19	mrsa_bacteria-YES	birthplace-_	hinfluenzae-YES	mother_hiv-YES	birthplace-_16	hinfluenzae_type_b-YES	father_tb_death-NO	father_hiv-NO	mother_hiv-NO	num_people_house_>10	age_<=1	num_children_house_>5	birthplace-_2	birthplace-_4	birthplace-_3	birthplace-_20	birthplace-_9	
0.4574	0.6512	0.494	0.2992	0.5146	0.5552	0.1582	0.7078	0.5634	0.6912	0.0	0.957	0.7216	0.2604	0.353	0.2456	0.4518	0.4724	0.498	0.5394	0.323	0.6546	0.3806	0.6944	0.5386	0.6212	0.5366	0.3836	0.594	0.7196	0.5836	0.1652	0.3178	0.7748	0.2748	0.0	0.2374	0.3616	0.5846	0.6596	0.1324	0.9468	0.2644	0.3624	0.9254	0.3504	0.595	0.3172	0.6884	0.4392	0.7328	0.7666	0.6908	0.1722	0.0432	0.0058	0.2852	0.2436	0.8492	0.4936	0.5092	0.1902	0.6358	0.0	0.3024	0.1328	0.1494	0.2488	0.4336	0.4114	0.6528	0.7514	0.3742	0.5046	0.6946	0.7346	0.0	0.037	0.3648	0.0	0.498	0.5198	0.0	0.711	0.0	0.0	
0.9538	0.7224	0.6598	0.5882	0.5082	0.856	0.1908	0.1914	0.7752	0.5964	0.957	0.0	0.7406	0.6666	0.5384	0.4268	0.7942	0.4848	0.8478	0.2486	0.3558	0.4088	0.2222	0.5448	0.623	0.83	0.3362	0.4968	0.9552	0.7694	0.4616	0.2774	0.2322	0.756	0.0	0.0	0.1048	0.6372	0.694	0.4144	0.0	0.0	0.1792	0.0	0.7898	0.9336	0.0	0.1938	0.824	0.0	0.3104	0.0	0.0	0.3858	0.0	0.0	0.0	0.0	0.3984	0.0	0.0	0.0	0.504	0.0	0.0	0.0	0.7692	0.0	0.0	0.0	0.7874	0.0	0.5108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.3132	0.8382	0.5758	0.4464	0.7394	0.207	0.1816	0.2944	0.5962	0.855	0.7216	0.7406	0.0	0.399	0.5698	0.409	0.3048	0.4728	0.1716	0.3016	0.4844	0.2536	0.2618	0.5746	0.1644	0.6662	0.7352	0.508	0.841	0.8114	0.4412	0.2296	0.2428	0.8862	0.3776	0.3344	0.0	0.7134	0.7624	0.0584	0.492	0.2874	0.2066	0.1736	0.789	0.3658	0.7228	0.6758	0.158	0.0676	0.4122	0.519	0.2762	0.794	0.26	0.2332	0.1162	0.5404	0.5592	0.2486	0.3302	0.6518	0.3826	0.4024	0.0104	0.0708	0.0682	0.1236	0.5622	0.439	0.6322	0.5848	0.7696	0.6196	0.2602	0.6512	0.0994	0.0118	0.303	0.3512	0.3372	0.0	0.7756	0.0	0.6412	0.0	
0.285	0.289	0.4114	0.4074	0.237	0.6114	0.3824	0.7474	0.637	0.4296	0.2604	0.6666	0.399	0.0	0.9872	0.556	0.5994	0.505	0.1806	0.5514	0.5166	0.2702	0.8078	0.6566	0.4598	0.524	0.295	0.4904	0.406	0.5334	0.358	0.6886	0.7288	0.52	0.3892	0.7236	0.5412	0.369	0.0922	0.839	0.5318	0.1904	0.5274	0.348	0.3556	0.4272	0.2564	0.6196	0.7194	0.383	0.4284	0.553	0.7008	0.7206	0.1586	0.8002	0.6854	0.4108	0.3002	0.7606	0.598	0.202	0.0732	0.5978	0.8432	0.5474	0.797	0.6096	0.3428	0.3422	0.2086	0.0	0.2516	0.2912	0.0	0.0	0.4738	0.5502	0.2876	0.4938	0.28	0.5682	0.5676	0.0	0.4854	0.4838	
0.362	0.453	0.378	0.3652	0.3314	0.3892	0.2292	0.6436	0.6332	0.4944	0.353	0.5384	0.5698	0.9872	0.0	0.3554	0.5042	0.4448	0.3068	0.3344	0.6266	0.3024	0.4432	0.6576	0.547	0.4818	0.3372	0.534	0.425	0.549	0.4344	0.7504	0.543	0.7466	0.463	0.4988	0.3756	0.6082	0.488	0.6552	0.5644	0.3738	0.5322	0.3946	0.3282	0.6694	0.4	0.5104	0.6676	0.4456	0.4442	0.5874	0.6242	0.6494	0.2058	0.6222	0.425	0.466	0.581	0.6578	0.6138	0.277	0.3896	0.5866	0.6522	0.4084	0.6222	0.4324	0.652	0.4644	0.4792	0.0012	0.313	0.5636	0.0	0.4336	0.2794	0.361	0.2846	0.5562	0.2298	0.4738	0.4674	0.0	0.423	0.412	
0.5558	0.8784	0.694	0.7546	0.567	0.6484	0.464	0.6356	0.8524	0.8164	0.2456	0.4268	0.409	0.556	0.3554	0.0	0.8788	0.3756	0.7394	0.209	0.6686	0.5002	0.396	0.4186	0.593	0.5584	0.4476	0.947	0.3986	0.8468	0.438	0.5896	0.4998	0.5322	0.555	0.969	0.5224	0.7626	0.5414	0.475	0.683	0.5764	0.605	0.0176	0.468	0.357	0.1726	0.3032	0.4044	0.7638	0.1376	0.0932	0.147	0.4012	0.524	0.4296	0.5168	0.6438	0.0	0.2504	0.7382	0.5816	0.2906	0.7156	0.2474	0.5318	0.5038	0.5788	0.311	0.6136	0.1808	0.3554	0.8348	0.2688	0.6174	0.4782	0.6884	0.771	0.006	0.669	0.004	0.2194	0.5364	0.4444	0.0	0.0	
0.4556	0.7624	0.5998	0.7492	0.3804	0.8246	0.2724	0.7598	0.8282	0.831	0.4518	0.7942	0.3048	0.5994	0.5042	0.8788	0.0	0.5654	0.8994	0.548	0.7152	0.4852	0.4292	0.505	0.5052	0.6992	0.5078	0.9382	0.7674	0.593	0.3852	0.7952	0.8678	0.5942	0.8942	0.8272	0.6268	0.3854	0.525	0.4242	0.501	0.168	0.9736	2.0E-4	0.3734	0.2362	0.0	0.1356	0.4008	0.7388	0.2142	0.0772	0.655	0.4534	0.3998	0.4976	0.67	0.8134	0.048	0.527	0.0	0.7804	0.8522	0.7536	0.6564	0.522	0.2808	0.266	0.0	0.2018	0.0276	0.295	0.8842	0.6496	0.3974	0.0	0.8156	0.761	0.0	0.6388	0.0	0.2986	0.2952	0.526	0.0	0.0	
0.611	0.482	0.4442	0.4884	0.3734	0.5874	0.4552	0.509	0.438	0.3656	0.4724	0.4848	0.4728	0.505	0.4448	0.3756	0.5654	0.0	0.4108	0.6178	0.2898	0.8408	0.4982	0.356	0.4582	0.388	0.432	0.3594	0.4624	0.5298	0.3002	0.3954	0.4306	0.408	0.4938	0.4674	0.4678	0.3194	0.4354	0.4716	0.4924	0.413	0.379	0.5168	0.5272	0.4048	0.3586	0.451	0.6128	0.5544	0.4426	0.4368	0.5396	0.0982	0.5788	0.5252	0.599	0.426	0.557	0.4416	0.3858	0.4716	0.5052	0.5132	0.5474	0.514	0.3942	0.3576	0.3054	0.0	0.3924	0.4254	0.3914	0.4948	0.4746	0.4054	0.5392	0.5452	0.5024	0.495	0.4838	0.435	0.4258	0.3704	0.3964	0.3876	
0.7354	0.9154	0.5726	0.827	0.4946	0.5582	0.7082	0.836	0.2574	0.9288	0.498	0.8478	0.1716	0.1806	0.3068	0.7394	0.8994	0.4108	0.0	0.14	0.9814	0.3638	0.2844	0.301	0.7666	0.6612	0.6052	0.482	0.905	0.4564	0.5178	0.525	0.2416	0.2764	0.9336	0.6408	0.7236	0.8624	0.7018	0.4658	0.717	0.0524	0.7838	0.0114	0.0	0.1306	0.029	0.0	0.0294	0.321	0.1818	0.0	0.1504	0.5988	0.7662	0.3818	0.288	0.484	0.0712	0.2966	0.3156	0.21	0.1648	0.8772	0.3058	0.3596	0.0	0.8352	0.3938	0.5398	0.5364	0.8472	0.723	0.4212	0.7658	0.0	0.1144	0.179	0.0184	0.4104	0.0278	0.0	0.0	0.8328	0.0	0.0	
0.5214	0.3958	0.3162	0.1284	0.2092	0.355	0.9568	0.0944	0.5804	0.2866	0.5394	0.2486	0.3016	0.5514	0.3344	0.209	0.548	0.6178	0.14	0.0	0.044	0.6582	0.6968	0.3362	0.0572	0.6118	0.495	0.3434	0.6764	0.424	0.4136	0.0074	0.5308	0.0062	0.242	0.4348	0.6466	0.0	0.1926	0.544	0.4032	0.0638	0.4206	0.4944	0.2666	0.2532	0.313	0.6952	0.3054	0.2908	0.5642	0.929	0.6622	0.234	0.678	0.7924	0.721	0.336	0.7832	0.518	0.278	0.6278	0.2886	0.2866	0.9028	0.4284	0.4714	0.5146	0.4376	0.1344	0.4226	0.3664	0.2694	0.566	0.679	0.0	0.576	0.6348	0.607	0.7384	0.6148	0.608	0.604	0.0	0.5092	0.5026	
